lhs,rhs,vars,gas saved,opt source,opt target,tpdb
PUSH 0 PUSH 12 DUP2 LT ISZERO ISZERO,PUSH 0 PUSH 1,,12,PUSH 17661 PUSH 1000 PUSH 31 PUSH 0 PUSH 12 DUP2 LT ISZERO ISZERO PUSH 17642,PUSH 17661 PUSH 1000 PUSH 31 PUSH 0 PUSH 1 PUSH 17642,"PUSH(0, PUSH(12, DUP2(LT(ISZERO(ISZERO(P)))))) -> PUSH(0, PUSH(1, P))"
PUSH 2 PUSH 12 DUP2 LT ISZERO ISZERO,PUSH 2 PUSH 1,,12,PUSH 17601 PUSH 1000 PUSH 31 PUSH 2 PUSH 12 DUP2 LT ISZERO ISZERO PUSH 17582,PUSH 17601 PUSH 1000 PUSH 31 PUSH 2 PUSH 1 PUSH 17582,"PUSH(2, PUSH(12, DUP2(LT(ISZERO(ISZERO(P)))))) -> PUSH(2, PUSH(1, P))"
PUSH 1 PUSH w_9 PUSH w_3 PUSH 1 PUSH 3 DUP2 GT ISZERO,PUSH 1 PUSH w_9 PUSH w_3 PUSH 1 DUP4,w_9 w_3,9,PUSH 11851 PUSH 1 PUSH 20 PUSH 0 PUSH 1 PUSH 3 DUP2 GT ISZERO PUSH 11810,PUSH 11851 PUSH 1 PUSH 20 PUSH 0 PUSH 1 DUP4 PUSH 11810,"PUSH(1, PUSH(w_9, PUSH(w_3, PUSH(1, PUSH(3, DUP2(GT(ISZERO(P)))))))) ->  PUSH(1, PUSH(w_9, PUSH(w_3, PUSH(1, DUP4(P)))))"
PUSH 0 CALLVALUE EQ,CALLVALUE ISZERO,,3,POP PUSH 0 CALLVALUE EQ,POP CALLVALUE ISZERO,"PUSH(0, CALLVALUE(EQ(P))) -> CALLVALUE(ISZERO(P))"
NUMBER PUSH w_2 SWAP1 DUP2,PUSH w_2 NUMBER PUSH w_2,w_2,3,NUMBER PUSH 0 SWAP1 DUP2,PUSH 0 NUMBER PUSH 0,"NUMBER(PUSH(w_2, SWAP1(DUP2(P)))) -> PUSH(w_2, NUMBER(PUSH(w_2, P)))"
RETURNDATASIZE DUP1,RETURNDATASIZE RETURNDATASIZE,,1,RETURNDATASIZE DUP1 PUSH 0 DUP5,RETURNDATASIZE RETURNDATASIZE PUSH 0 DUP5,RETURNDATASIZE(DUP1(P)) -> RETURNDATASIZE(RETURNDATASIZE(P))
DUP2 ADD SWAP1 DUP1 DUP1 MLOAD SWAP1 PUSH w_0 ADD SWAP1 SWAP3 SWAP2 SWAP1 POP POP POP POP,POP POP,w_0,42,DUP2 ADD SWAP1 DUP1 DUP1 MLOAD SWAP1 PUSH 32 ADD SWAP1 SWAP3 SWAP2 SWAP1 POP POP POP POP,POP POP,"DUP2(ADD(SWAP1(DUP1(DUP1(MLOAD(SWAP1(PUSH(w_0, ADD(SWAP1(SWAP3(SWAP2(SWAP1(POP(POP(POP(POP(P))))))))))))))))) ->  POP(POP(P))"
PUSH 1 PUSH w_8 PUSH 0 DUP1 PUSH w_4 DUP2 GT ISZERO,PUSH 1 PUSH w_8 PUSH 0 DUP1 DUP4,w_8 w_4,9,PUSH 13293 PUSH 1 PUSH 20 PUSH 0 DUP1 PUSH 3 DUP2 GT ISZERO PUSH 13252,PUSH 13293 PUSH 1 PUSH 20 PUSH 0 DUP1 DUP4 PUSH 13252,"PUSH(1, PUSH(w_8, PUSH(0, DUP1(PUSH(w_4, DUP2(GT(ISZERO(P)))))))) ->  PUSH(1, PUSH(w_8, PUSH(0, DUP1(DUP4(P)))))"
DUP4 SLOAD SWAP4 POP,SWAP3 SLOAD SWAP3,,2,DUP4 SLOAD SWAP4 POP,SWAP3 SLOAD SWAP3,DUP4(SLOAD(SWAP4(POP(P)))) -> SWAP3(SLOAD(SWAP3(P)))
DUP2 SLOAD SWAP2 POP,SWAP1 SLOAD SWAP1,,2,DUP2 SLOAD SWAP2 POP,SWAP1 SLOAD SWAP1,DUP2(SLOAD(SWAP2(POP(P)))) -> SWAP1(SLOAD(SWAP1(P)))
DUP1 DUP1 CALLDATALOAD SWAP1 PUSH w_2 ADD SWAP1 SWAP2 SWAP1 POP POP,CALLDATALOAD,w_2,28,PUSH 90 PUSH 4 DUP1 DUP1 CALLDATALOAD SWAP1 PUSH 32 ADD SWAP1 SWAP2 SWAP1 POP POP PUSH 116,PUSH 90 PUSH 4 CALLDATALOAD PUSH 116,"DUP1(DUP1(CALLDATALOAD(SWAP1(PUSH(w_2, ADD(SWAP1(SWAP2(SWAP1(POP(POP(P))))))))))) ->  CALLDATALOAD(P)"
DUP2 ADD SWAP1 POP,ADD,,8,DUP2 ADD SWAP1 POP,ADD,DUP2(ADD(SWAP1(POP(P)))) -> ADD(P)
