source bytecode,target bytecode,target opcode,target instruction count,source gas,target gas,gas saved,known optimal,translation validation
60008060008092506000915060009050,6000806000,PUSH 0 DUP1 PUSH 0,3,33,9,24,true,true
60008060146000836003811115613371,6000600060146000806001613371,PUSH 0 PUSH 0 PUSH 20 PUSH 0 DUP1 PUSH 1 PUSH 13169,7,30,21,9,false,true
60008063deadbeef9050805491505090,63deadbeef5490,PUSH 3735928559 SLOAD SWAP1,3,227,206,21,false,true
60008160048190555060019050919050,6004600192919055,PUSH 4 PUSH 1 SWAP3 SWAP2 SWAP1 SSTORE,6,20033,20015,18,false,true
60016005600083600019166000191681,6001600560008381,PUSH 1 PUSH 5 PUSH 0 DUP4 DUP2,5,33,15,18,true,true
603360209081,602060336020,PUSH 32 PUSH 51 PUSH 32,3,12,9,3,true,true
611ec860056000600b81101515611db7,611ec8600560006001611db7,PUSH 7880 PUSH 5 PUSH 0 PUSH 1 PUSH 7607,5,27,15,12,false,true
612b0c60056000600b81101515612ae4,612b0c600560006001612ae4,PUSH 11020 PUSH 5 PUSH 0 PUSH 1 PUSH 10980,5,27,15,12,false,true
61318a60186000600481101515613152,61318a601860006001613152,PUSH 12682 PUSH 24 PUSH 0 PUSH 1 PUSH 12626,5,27,15,12,false,true
6131d56018600160048110151561319d,6131d560186001600161319d,PUSH 12757 PUSH 24 PUSH 1 PUSH 1 PUSH 12701,5,27,15,12,false,true
6148456018600060048110151561481d,61484560186000600161481d,PUSH 18501 PUSH 24 PUSH 0 PUSH 1 PUSH 18461,5,27,15,12,false,true
67016345785d8a000034101515610139,3467016345785d8a000011610139,CALLVALUE PUSH 100000000000000000 GT PUSH 313,4,17,11,6,false,true
606060409081,604060606040,PUSH 64 PUSH 96 PUSH 64,3,12,9,3,true,true
5060016005600083600019166000191681,1950600160056000836000,NOT POP PUSH 1 PUSH 5 PUSH 0 DUP4 PUSH 0,7,35,20,15,false,true
5060016007600083600019166000191681,1950600160076000836000,NOT POP PUSH 1 PUSH 7 PUSH 0 DUP4 PUSH 0,7,35,20,15,false,true
6000151560008083600019166000191681,6000600060008383,PUSH 0 PUSH 0 PUSH 0 DUP4 DUP4,5,39,15,24,true,true
6000600060008492506000915060009050,81600080,DUP2 PUSH 0 DUP1,3,33,9,24,true,true
6000806000806000806000945060009350,6000806000808082,PUSH 0 DUP1 PUSH 0 DUP1 DUP1 DUP3,6,34,18,16,true,true
6000806000806000809350611e8d612f4c,60006000600060006000611e8d612f4c,PUSH 0 PUSH 0 PUSH 0 PUSH 0 PUSH 0 PUSH 7821 PUSH 12108,7,29,21,8,false,true
6000806000806000925061273d85613f5d,6000600060008261273d85613f5d,PUSH 0 PUSH 0 PUSH 0 DUP3 PUSH 10045 DUP6 PUSH 16221,7,29,21,8,false,true
6000806000905060016006811115611039,6000600060016001611039,PUSH 0 PUSH 0 PUSH 1 PUSH 1 PUSH 4153,5,32,15,17,false,true
600080600b600085600019166000191681,600080600b82856000,PUSH 0 DUP1 PUSH 11 DUP3 DUP6 PUSH 0,6,36,18,18,false,true
6000808060ff84168190108015906126ba,6000600060006001836126ba,PUSH 0 PUSH 0 PUSH 0 PUSH 1 DUP4 PUSH 9914,6,39,18,21,false,true
600080823b905060008114915050919050,3b1590,EXTCODESIZE ISZERO SWAP1,3,738,706,32,false,true
6001600060146000836003811115612dce,6001600060146000836001612dce,PUSH 1 PUSH 0 PUSH 20 PUSH 0 DUP4 PUSH 1 PUSH 11726,7,30,21,9,false,true
60026000601460008360038111156147cb,60026000601460008360016147cb,PUSH 2 PUSH 0 PUSH 20 PUSH 0 DUP4 PUSH 1 PUSH 18379,7,30,21,9,false,true
6003600060146000836003811115611e37,600360006014600060036001611e37,PUSH 3 PUSH 0 PUSH 20 PUSH 0 PUSH 3 PUSH 1 PUSH 7735,7,30,21,9,false,true
613a0b6005600083600019166000191681,613a0b600560008381,PUSH 14859 PUSH 5 PUSH 0 DUP4 DUP2,5,33,15,18,true,true
8060008163ffffffff161015801561294f,806001600061294f,DUP1 PUSH 1 PUSH 0 PUSH 10575,4,30,12,18,true,true
8101908080519060200190929190505050,5051,POP MLOAD,2,44,4,40,true,true
8160006000506000600160005060008681,81600080600181846000,DUP2 PUSH 0 DUP1 PUSH 1 DUP2 DUP5 PUSH 0,7,31,21,10,false,true
600060006000506000600160005060008681,6000806000600182866000,PUSH 0 DUP1 PUSH 0 PUSH 1 DUP3 DUP7 PUSH 0,7,31,21,10,false,true
